Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
MANKIND.NS,2024-12-01,187.0,9.22,2383.0,221.0,385.0,87.0,495.0,22.0,2609.3643493652344
MANKIND.NS,2025-03-01,231.0,10.2,2396.0,191.0,425.0,249.0,511.0,17.0,2417.206431243379
MANKIND.NS,2025-06-01,219.0,10.62,2724.0,171.0,445.0,83.0,540.0,18.0,2471.4299278259277
MAPMYINDIA.NS,2022-06-01,2.0,4.54,35.0,1.0,24.0,6.0,34.0,28.0,1348.07814437624
MAPMYINDIA.NS,2022-09-01,2.0,4.74,46.0,1.0,25.0,8.0,36.0,29.0,1305.120573966734
MAPMYINDIA.NS,2022-12-01,2.0,5.52,40.0,1.0,30.0,11.0,36.0,17.0,1105.9600694444443
MAPMYINDIA.NS,2023-03-01,4.0,5.22,44.0,1.0,28.0,10.0,34.0,18.0,1061.2528584798176
MAPMYINDIA.NS,2023-06-01,3.0,6.0,52.0,1.0,32.0,8.0,42.0,24.0,1397.5541801452637
MAPMYINDIA.NS,2023-09-01,4.0,6.11,51.0,1.0,33.0,8.0,44.0,25.0,1983.3864034016926
MAPMYINDIA.NS,2023-12-01,4.0,5.69,57.0,1.0,31.0,12.0,42.0,26.0,1968.739486202117
MAPMYINDIA.NS,2024-03-01,4.0,7.02,67.0,1.0,38.0,12.0,47.0,19.0,1878.0260733911546
MAPMYINDIA.NS,2024-06-01,5.0,6.62,59.0,1.0,36.0,10.0,47.0,24.0,2228.8242423765123
MAPMYINDIA.NS,2024-09-01,6.0,5.58,67.0,1.0,30.0,10.0,41.0,25.0,1988.8357445501513
MAPMYINDIA.NS,2024-12-01,5.0,5.96,73.0,1.0,32.0,9.0,44.0,27.0,1667.9773254394531
MAPMYINDIA.NS,2025-03-01,4.0,8.93,88.0,1.0,49.0,23.0,74.0,33.0,1786.8438948291844
MAPMYINDIA.NS,2025-06-01,7.0,8.47,67.0,1.0,46.0,14.0,60.0,24.0,1786.8189506530762
MARICO.NS,2022-06-01,36.0,2.87,2030.0,10.0,377.0,17.0,499.0,24.0,484.70858522445434
MARICO.NS,2022-09-01,37.0,2.33,2063.0,15.0,307.0,19.0,400.0,23.0,495.0484560074345
MARICO.NS,2022-12-01,39.0,2.54,2014.0,14.0,333.0,40.0,443.0,25.0,485.4547685895647
MARICO.NS,2023-03-01,43.0,2.34,1847.0,17.0,305.0,68.0,401.0,24.0,483.9655771891276
MARICO.NS,2023-06-01,36.0,3.3,1903.0,17.0,436.0,46.0,567.0,23.0,529.290060043335
MARICO.NS,2023-09-01,39.0,2.73,1979.0,20.0,360.0,38.0,476.0,24.0,532.1710098266601
MARICO.NS,2023-12-01,42.0,2.96,1909.0,19.0,386.0,43.0,495.0,22.0,517.1588415330456
MARICO.NS,2024-03-01,41.0,2.46,1836.0,17.0,320.0,15.0,399.0,20.0,526.1251541396318
MARICO.NS,2024-06-01,41.0,3.58,2017.0,17.0,474.0,37.0,605.0,22.0,637.41113773469
MARICO.NS,2024-09-01,41.0,3.27,2142.0,11.0,433.0,82.0,552.0,22.0,648.4285091277092
MARICO.NS,2024-12-01,44.0,3.08,2261.0,13.0,406.0,42.0,518.0,22.0,636.9399547576904
MARICO.NS,2025-03-01,52.0,2.65,2272.0,12.0,345.0,47.0,441.0,22.0,671.0299848136256
MARICO.NS,2025-06-01,45.0,3.89,2604.0,10.0,513.0,56.0,656.0,22.0,708.4504537582397
MARUTI.NS,2022-06-01,652.0,34.3,24597.0,28.0,1036.0,112.0,1347.0,23.0,8188.514113653274
MARUTI.NS,2022-09-01,723.0,69.93,27172.0,31.0,2112.0,662.0,2679.0,21.0,8712.099782636089
MARUTI.NS,2022-12-01,1209.0,79.65,25878.0,30.0,2406.0,893.0,3027.0,21.0,8350.512602306548
MARUTI.NS,2023-03-01,1240.0,88.97,28320.0,164.0,2688.0,850.0,3341.0,20.0,8480.631982421875
MARUTI.NS,2023-06-01,1314.0,84.18,29015.0,46.0,2543.0,1110.0,3269.0,22.0,9356.289733886719
